id,journal_id,name,pmid,pmc,publisher_id,doi,subject,published_date,received_date,accepted_date,license_type,copyright_statement,keywords,repositories
1035,5,"A saturation-mutagenesis analysis of the interplay between stability and activation in Ras",35272765,8916776,76595,10.7554/eLife.76595,"Research Advance",2022-03-11,2022-01-05,2022-01-25,,"© 2022, Hidalgo et al","saturation-mutagenesis;k-ras;h-ras;high throughput screening;cancer mutants;signaling activation;cancer;ras;ba/f3;
          ",https://github.com/fhidalgor/ras_cancer_hidalgoetal;https://github.com/fhidalgor/mutagenesis_visualization
1036,180,"A collaborative semantic-based provenance management platform for reproducibility",35494870,9044346,cs-921,10.7717/peerj-cs.921,"Computational Biology",2022-03-10,2021-06-08,2022-02-16,,"©2022 Samuel and König-Ries","Provenance;Reproducibility;Research data management platform;Jupyter Notebooks;Scientific experiments;Ontology;Visualization;Semantic Web",https://github.com/Sheeba-Samuel/REPRODUCE-ME;https://github.com/Sheeba-Samuel/ProvBook;https://github.com/Sheeba-Samuel/CAESAREvaluation;https://github.com/Data2Semantics/prov-o-matic;https://github.com/IDR/idr-metadata;https://github.com/jupyter/nbdime
1037,65,"User-Accessible Machine Learning Approaches for Cell Segmentation and Analysis in Tissue",35360226,8960722,,10.3389/fphys.2022.833333,Physiology,2022-03-10,2021-12-13,2022-01-12,,"Copyright © 2022 Winfree.","machine learning;deep learning—artificial neural network;segmentation;classification;neighborhoods;microenviroment;bio-imaging tools",https://github.com/MouseLand/cellpose;https://github.com/stardist/stardist;https://github.com/marrlab/InstantDL;https://github.com/HenriquesLab/ZeroCostDL4Mic;https://github.com/trasse/OpSeF-IV
1038,264,"Mapping spatial frequency preferences across human primary visual cortex",35266962,8934567,JOV-08166-2021,10.1167/jov.22.4.3,Article,2022-03-10,2021-09-30,2022-01-23,,"Copyright 2022 The Authors","spatial vision;spatial frequency;eccentricity;fMRI;computational modeling",""
1039,102,"Single nucleus multi-omics identifies human cortical cell regulatory genome diversity",35419551,9004682,100107,10.1016/j.xgen.2022.100107,Technology,2022-03-09,2020-06-20,2022-02-08,,"© 2022 The Author(s)","brain;methylation;multi-omics;single cell;epigenomics",https://github.com/mukamel-lab/SingleCellFusion;https://github.com/welch-lab/liger;https://github.com/alexdobin/STAR;https://github.com/lhqing/ALLCools;https://github.com/yupenghe/methylpy;https://github.com/brianhie/scanorama;https://github.com/iandday/pyharmony;https://github.com/r3fang/SnapATAC;https://github.com/AllenInstitute/scrattch.hicat;https://github.com/FangmingXie/mctseq_over_under_splitting;https://github.com/lhqing/snmCAT-seq_integration;https://github.com/jterrace/pyharmony;https://github.com/dcalderon/rolypoly
1040,102,"Federated analysis of BRCA1 and BRCA2 variation in a Japanese cohort",35373174,8975122,100109,10.1016/j.xgen.2022.100109,Technology,2022-03-09,2021-06-01,2022-02-09,,"© 2022 The Authors","Variant of uncertain significance;federated computing;variant classification;benign;pathogenic;data privacy;co-occurrence analysis",https://github.com/BRCAChallenge/federated-analysis;https://github.com/samtools/bcftools;https://github.com/openvax/pyensembl
1041,187,"Activation of NLRP3 Inflammasome by Virus-Like Particles of Human Polyomaviruses in Macrophages",35355981,8959312,,10.3389/fimmu.2022.831815,Immunology,2022-03-09,2021-12-08,2022-02-08,,"Copyright © 2022 Lučiūnaitė, Dalgėdienė, Žilionis, Mašalaitė, Norkienė, Šinkūnas, Gedvilaitė, Kučinskaitė-Kodzė and Žvirblienė","macrophage;polyomavirus;NLRP3 inflammasome;cathepsins;inflammation",https://github.com/jsimonas/solo-in-drops;https://github.com/alexdobin/STAR
1042,52,"Rapid DNA origami nanostructure detection and classification using the YOLOv5 deep convolutional neural network",35264624,8907326,7759,10.1038/s41598-022-07759-3,Article,2022-03-09,2021-12-22,2022-02-24,,"© The Author(s) 2022",DNA;Nanobiotechnology;Nanostructures,https://github.com/tzutalin/labelImg;https://github.com/mchirib1/Origami_Structure_Detection;https://github.com/ultralytics/yolov5
1043,131,"Integrative Genome-Scale Metabolic Modeling Reveals Versatile Metabolic Strategies for Methane Utilization in ",35258342,9040813,00073-22,10.1128/msystems.00073-22,"Research Article",2022-03-08,2022-01-22,2022-02-21,,"Copyright © 2022 Villada et al.","methanotroph;methane oxidation;systems biology;integrative modeling;flux balance analysis;fermentation;biotechnology",""
1044,109,"Machine Learning Approaches to Identify Discriminative Signatures of Volatile Organic Compounds (VOCs) from Bacteria and Fungi Using SPME-DART-MS",35323675,8953436,metabolites-12-00232,10.3390/metabo12030232,Article,2022-03-08,2022-02-16,2022-03-04,,"© 2022 by the authors.","DART-MS;ambient plasma ionization;solid phase micro-extraction;machine learning classification algorithms;K-means clustering;imbalanced learning;VOC;point-of-care devices;pathogen identification",https://github.com/rkamaleswaran/VOCpath
1045,110,"A Novel MRI Diagnosis Method for Brain Tumor Classification Based on CNN and Bayesian Optimization",35326972,8949584,healthcare-10-00494,10.3390/healthcare10030494,Article,2022-03-08,2022-01-31,2022-03-02,,"© 2022 by the authors.","MRI diagnosis;brain tumor classification;CNN;Bayesian Optimization",https://github.com/keras-team/keras;https://github.com/SartajBhuvaji/Brain-Tumor-Classification-DataSet
1046,268,"Genetic influences on central and peripheral nervous system activity during fear conditioning",35260551,8904491,1861,10.1038/s41398-022-01861-w,Article,2022-03-08,2021-08-25,2022-02-18,,"© The Author(s) 2022, corrected publication 2022","Human behaviour;Learning and memory",https://github.com/granitz/twin_fear
1047,45,"A Review of the Asymmetric Numeral System and Its Applications to Digital Images",35327886,8946946,entropy-24-00375,10.3390/e24030375,Article,2022-03-07,2022-01-30,2022-03-02,,"© 2022 by the authors.","entropy encoding;Huffman coding;arithmetic coding;Asymmetric Numeral System;joint image compression and encryption",https://github.com/facebook/zst;https://github.com/lzfse/lzfse;https://github.com/google/pik;https://github.com/Cyan4973/FiniteStateEntropy;https://github.com/ydkhatri/pyliblzfse;https://github.com/rygorous/ryg_rans
1048,209,"Bayesian calibration, process modeling and uncertainty quantification in biotechnology",35255090,8939798,PCOMPBIOL-D-21-01126,10.1371/journal.pcbi.1009223,"Research Article","",2021-06-17,2022-01-16,,"© 2022 Helleckes et al","",https://github.com/JuBiotech/calibr8-paper;https://github.com/Data2Dynamics/d2d;https://github.com/ICB-DCM/pyPESTO
1049,166,"AT-NeuroEAE: A Joint Extraction Model of Events With Attributes for Research Sharing-Oriented Neuroimaging Provenance Construction",35321479,8936590,,10.3389/fnins.2021.739535,Neuroscience,2022-03-07,2021-07-11,2021-12-20,,"Copyright © 2022 Lin, Xu, Sheng, Chen and Chen.","neuroimaging provenance;neuroimaging text mining;event extraction;attribute extraction;deep adversarial learning",https://github.com/incf-nidash/XCEDE;https://github.com/wangmm88/BioNLP-ST-2016_BB3-event
1050,20,"Using intra-brain drug infusion to investigate neural mechanisms underlying reward-seeking behavior in mice",35284840,8908249,101221,10.1016/j.xpro.2022.101221,Protocol,2022-03-07,"","",,"© 2022 The Author(s)","Model Organisms;Neuroscience;Behavior",https://github.com/xcccc402/Touchscreen-version-of-PR-task-data-analyasis
1051,217,"Protocol variations in run-on transcription dataset preparation produce detectable signatures in sequencing libraries",35255806,8900324,8352,10.1186/s12864-022-08352-8,Research,2022-03-07,2021-05-29,2022-01-25,,"© The Author(s) 2022","Run-on sequencing;PRO-seq;GRO-seq;Library preparation",https://github.com/Dowell-Lab/Nascent-Flow;https://github.com/Dowell-Lab/Protocol-Comparisons;https://github.com/Dowell-Lab/Tfit;https://github.com/Danko-Lab/RunOnBamToBigWig
1052,336,"Development and Validation of Prediction Models for Severe Complications After Acute Ischemic Stroke: A Study Based on the Stroke Registry of Northwestern Germany",35253466,9075320,JAH37173,10.1161/JAHA.121.023175,"Original Research",2022-03-05,2021-07-12,2022-01-18,,"© 2022 The Authors. Published on behalf of the American Heart Association, Inc., by Wiley.","ischemic stroke;machine learning;mortality;prediction;severe outcomes;Mortality/Survival;Quality and Outcomes;Ischemic Stroke",https://github.com/AnnaBonkhoff/Predict_severe_complications_after_stroke
1053,337,"Rethinking Protein Drug Design with Highly Accurate Structure Prediction of Anti-CRISPR Proteins",35337108,8949011,pharmaceuticals-15-00310,10.3390/ph15030310,Article,2022-03-04,2022-01-27,2022-03-01,,"© 2022 by the authors.","in-silico drug design;AlphaFold;anti-CRISPR proteins;prokaryotic defence mechanisms;bacteriophages;structural biology;protein drug",https://github.com/deepmind/alphafold;https://github.com/numpy/numpy;https://github.com/mwaskom/seaborn;https://github.com/matplotlib/matplotlib;https://github.com/pandas-dev/pandas;https://github.com/powersimmani/ACR_alphafold
1054,123,"Activation of Glutamate Transport Increases Arteriole Diameter ",35308116,8930833,,10.3389/fncel.2022.831061,Neuroscience,2022-03-04,2021-12-07,2022-01-24,,"Copyright © 2022 Jackson, Krizman, Takano, Lee, Choi, Putt and Robinson.","glutamate transport;arteriole diameter;neurovascular coupling;astrocyte;None",https://github.com/takano2050/BloodVesselAnalysis;https://github.com/leemc-data-ed/blood-vessel-diameter
1055,89,"G-quadruplex occurrence and conservation: more than just a question of guanine–cytosine content",35261973,8896161,lqac010,10.1093/nargab/lqac010,AcademicSubjects/SCI00030,"",2021-06-10,2022-02-25,,"© The Author(s) 2022. Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics.","",https://github.com/UdeS-CoBIUS/G4Conservation
1056,70,"fastISM: performant ",35238376,9048647,btac135,10.1093/bioinformatics/btac135,"Original Papers",2022-05-01,2021-10-26,2022-03-01,,"© The Author(s) 2022. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com","",https://github.com/kundajelab/fastISM
1057,145,"RealNeuralNetworks.jl: An Integrated Julia Package for Skeletonization, Morphological Analysis, and Synaptic Connectivity Analysis of Terabyte-Scale 3D Neural Segmentations",35311003,8924549,,10.3389/fninf.2022.828169,Neuroscience,2022-03-02,2021-12-03,2022-02-10,,"Copyright © 2022 Wu, Turner, Bae, Vishwanathan and Seung.","skeletonization;morphological analysis;clustering;connectomics;Julia language;neuron morphology;neuron connectivity",https://github.com/seung-lab/RealNeuralNetworks.jl;https://github.com/seung-lab/BigArrays.jl;https://github.com/jingpengw/realneuralnetworks-notebook;https://github.com/JuliaCloud/AWSSDK.jl;https://github.com/google/neuroglancer;https://github.com/JuliaStats/Clustering.jl
1058,142,"UPMaBoSS: A Novel Framework for Dynamic Cell Population Modeling",35309516,8924294,800152,10.3389/fmolb.2022.800152,"Molecular Biosciences",2022-03-02,2021-10-22,2022-01-21,,"Copyright © 2022 Stoll, Naldi, Noël, Viara, Barillot, Kroemer, Thieffry and Calzone.","stochastic simulation;cell interactions;heterogeneous cell population;logical model;pathway modeling",https://github.com/sysbio-curie/UPMaBoSS-docker;https://github.com/sysbiocurie/UPMaBoSS-docker
1059,209,"Missense variants in human ACE2 strongly affect binding to SARS-CoV-2 Spike providing a mechanism for ACE2 mediated genetic risk in Covid-19: A case study in affinity predictions of interface variants",35235558,8920257,PCOMPBIOL-D-21-01630,10.1371/journal.pcbi.1009922,"Research Article",2022-03-02,2021-09-07,2022-02-13,,"© 2022 MacGowan et al","",https://github.com/bartongroup/covid19-ace2-variants;https://github.com/MatreyekLab/ACE2_variants
1060,283,"Optimizations for Computing Relatedness in Biomedical Heterogeneous
Information Networks: SemNet 2.0",35936510,9351549,,10.3390/bdcc6010027,Article,2022-07-01,"","",,,"HeteSim;ULARA;SemNet;Alzheimer’s disease;natural language processing;machine learning;text mining;biomedical knowledge graph;relatedness;rank aggregation",https://github.com/pathology-dynamics/semnet-2;https://github.com/gnn4dr/DRKG
1061,180,"Detecting racism and xenophobia using deep learning models on Twitter data: CNN, LSTM and BERT",35494847,9044360,cs-906,10.7717/peerj-cs.906,"Artificial Intelligence",2022-03-01,2021-12-17,2022-02-08,,"© 2022 Benítez-Andrades et al.","Hate speech;Transfer learning;BERT;BETO;Natural language processing;Text classification",https://github.com/msang/hateval;https://github.com/tweepy/tweepy
1062,338,"A distinct core regulatory module enforces oncogene expression in KMT2A-rearranged leukemia",35301220,8973843,,10.1101/gad.349284.121,"Research Paper",2022-03-01,2021-12-08,2022-02-22,,"
","IRF8;KMT2A-rearranged AML;MEF2D;transcriptional addiction",https://github.com/broadinstitute/ccle_processing;https://github.com/kundajelab/chipseq_pipeline;https://github.com/nf-core/chipseq;https://github.com/macs3-project/MACS;https://github.com/nservant/HiC-Pro;https://github.com/lh3/bwa;https://github.com/mirnylab/pairtools;https://github.com/Boyle-Lab/Blacklist;https://github.com/linlabbcm/rose2;https://github.com/BradnerLab/pipeline;https://github.com/jkobject/slamdunk;https://github.com/jkobject/AMLproject
1063,339,"Deep learning based fusion model for COVID-19 diagnosis and classification using computed tomography images",35382156,8968394,10.1177_1063293X211021435,10.1177/1063293X211021435,Articles,"","","",,"© The Author(s) 2021","deeplearning;COVID-19;weiner filtering;convolutional neural network;Gaussian Naïve Bayes;Deep learning multimodal fusion",https://github.com/UCSD-AI4H/COVID-CT
1064,57,"Ultra‐high sensitivity mass spectrometry quantifies single‐cell proteome changes upon perturbation",35226415,8884154,MSB202110798,10.15252/msb.202110798,Article,2022-02-28,2021-11-08,2022-02-08,,"© 2022 The Authors Published under the terms of the CC BY 4.0 license","drug perturbation;low‐flow LC–MS;proteomics at single‐cell resolution;single‐cell heterogeneity;systems biology;Cell Cycle;Proteomics",https://github.com/theislab/singlecell_proteomics
1065,45,"What Should I Notice? Using Algorithmic Information Theory to Evaluate the Memorability of Events in Smart Homes",35327857,8947366,entropy-24-00346,10.3390/e24030346,Article,2022-02-27,2022-02-03,2022-02-24,,"© 2022 by the authors.","Kolmogorov complexity;algorithmic information theory;simplicity;abduction;memorability",https://github.com/EtienneHouze/memorability_code
1066,61,"Improving the Quantification of Colorimetric Signals in Paper-Based Immunosensors with an Open-Source Reader",35271026,8914853,sensors-22-01880,10.3390/s22051880,Article,2022-02-27,2022-01-12,2022-02-23,,"© 2022 by the authors.","lateral flow test;COVID-19;immunosensor;biosensor;open-source;image processing;rapid test reader",https://github.com/SMR-83/Open_Reader
1067,138,"Connecting firm's web scraped textual content to body of science: Utilizing microsoft academic graph hierarchical topic modeling",35284247,8914545,101650,10.1016/j.mex.2022.101650,"Method Article",2022-02-27,2021-12-14,2022-02-22,,"© 2022 The Authors","Natural language processing;Economic classification scheme;Knowledge transformation;Web scraping",https://github.com/arash-hajikhani/Bigprod_FOS
1068,53,"Increasing transparency and reproducibility in stroke-microbiota research: A toolbox for microbiota analysis",35310944,8931359,103998,10.1016/j.isci.2022.103998,Article,2022-02-26,2021-11-11,2022-02-24,,"© 2022 The Author(s)","Neuroscience;Clinical neuroscience;Microbiome",https://github.com/adamsorbie/Stroke_Microbiota_reproducibility;https://github.com/lichen-lab/powmic;https://github.com/s-andrews/FastQC
1069,16,"DLRAPom: a hybrid pipeline of Optimized XGBoost-guided integrative multiomics analysis for identifying targetable disease-related lncRNA–miRNA–mRNA regulatory axes",35224615,8921741,bbac046,10.1093/bib/bbac046,"Problem Solving Protocol","",2021-11-05,2022-01-29,,"© The Author(s) 2022. Published by Oxford University Press.","analysis framework;data integration;multiomics analysis;noncoding RNA regulatory",https://github.com/shenxiaochenn/DLRAPom;https://github.com/scikit-learn/scikit-learn
1070,28,"NCMW: A Python Package to Analyze Metabolic Interactions in the Nasal Microbiome",36304309,9580955,827024,10.3389/fbinf.2022.827024,Bioinformatics,2022-02-25,2021-12-01,2022-01-19,,"Copyright © 2022 Glöckler, Dräger and Mostolizadeh.","microbial communities;nasal microbiome;computational biology;genome-scale modeling;constraint-based modeling",https://github.com/manuelgloeckler/ncmw
1071,322,"Genomic analysis of a parasite invasion: Colonization of the Americas by the blood fluke ",35152493,9305930,MEC16395,10.1111/mec.16395,"Original Article",2022-02-25,2021-10-28,2022-01-31,,"© 2022 The Authors. ","Africa;Brazil;codispersal;exome;human parasite;migration","https://github.com/nealplatt/sch_man_nwinvasion;https://github.com/BGI‐shenzhen/VCF2Dis;https://github.com/NCAR/Fields"
1072,209,"Causal reasoning over knowledge graphs leveraging drug-perturbed and disease-specific transcriptomic signatures for drug discovery",35213534,8906585,PCOMPBIOL-D-21-01914,10.1371/journal.pcbi.1009909,"Research Article",2022-02-25,2021-10-21,2022-02-09,,"© 2022 Domingo-Fernández et al","",https://github.com/enveda/RPath
1073,85,"Reconstruction of neocortex: organelles, compartments, cells, circuits, and activity",35216674,9337909,,10.1016/j.cell.2022.01.023,Article,2022-07-20,"","",,,"",""
1074,5,"Colicin E1 opens its hinge to plug TolC",35199644,9020818,73297,10.7554/eLife.73297,"Research Article",2022-02-24,2021-08-24,2022-02-21,,"© 2022, Budiardjo et al","antibiotic efflux;colicin;antibiotic resistance;TolC;colicin E1;
          ",""
1075,341,"Glutamine-dependent signaling controls pluripotent stem cell fate",35216682,8930616,,10.1016/j.devcel.2022.02.003,Article,2022-02-24,"","",,,"pluripotent stem cell;cell fate;glutamine;nutrient;development;auxotroph;prototroph",""
1076,250,"A COMPASS for VESPUCCI: A FAIR Way to Explore the Grapevine Transcriptomic Landscape",35283898,8908374,,10.3389/fpls.2022.815443,"Plant Science",2022-02-24,2021-11-15,2022-01-24,,"Copyright © 2022 Moretto, Sonego, Pilati, Matus, Costantini, Malacarne and Engelen.","gene expression;grapevine;transcriptomics;compendium;Python;R;FAIR",https://github.com/onertipaday/rcompass;https://github.com/marcomoretto/compass;https://github.com/marcomoretto/pyCOMPASS;https://github.com/marcomoretto/dashcompass
1077,342,"MulViMotion: Shape-Aware 3D Myocardial Motion Tracking From Multi-View Cardiac MRI",35201985,7613225,,10.1109/TMI.2022.3154599,Article,"",2021-12-22,2022-02-11,,,"Multi-view;3D motion tracking;shape regularization;cine CMR;deep neural networks",https://github.com/InsightSoftwareConsortium/SimpleITK-Notebooks;https://github.com/wolny/pytorch-3dunet;https://github.com/baiwenjia/ukbb_cardiac;https://github.com/voxelmorph/voxelmorph;https://github.com/qmeng99/dynamic_videos;https://github.com/Marjola89/3Dstrain_analysis
1078,52,"Evaluation of Swab-Seq as a scalable, sensitive assay for community surveillance of SARS-CoV-2 infection",35197492,8866503,6901,10.1038/s41598-022-06901-5,Article,2022-02-23,2021-08-16,2022-02-08,,"© The Author(s) 2022","RNA sequencing;Viral infection",https://github.com/cusanovichlab/swabseq;https://github.com/octantbio/SwabSeq;https://github.com/pachterlab/BLCSBGLKP_2020;https://github.com/pachterlab/kallisto
1079,149,"A taxonomic-based joint species distribution model for presence-only data",35193392,8864348,rsif20210681,10.1098/rsif.2021.0681,"Life Sciences–Mathematics interface",2022-02-23,2021-08-31,2022-01-20,,"© 2022 The Authors.","species distribution models;presence-only data;tree of life;multivariate conditional autorregresive models",https://github.com/molgor/JSDM4POD
1080,53,"Scale ambiguities in material recognition",35281732,8914553,103970,10.1016/j.isci.2022.103970,Article,2022-02-22,2021-10-12,2022-02-18,,"© 2022 The Authors","Biological sciences;Neuroscience;Sensory neuroscience",https://github.com/jupyter/notebook;https://github.com/numpy/numpy;https://github.com/pandas-dev/pandas;https://github.com/scipy/scipy;https://github.com/scikit-learn/scikit-learn;https://github.com/matplotlib/matplotlib;https://github.com/mwaskom/seaborn;https://github.com/trevismd/statannotations;https://github.com/explosion/spaCy;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/hub
1081,151,"Pseudotime Analysis Reveals Exponential Trends in DNA Methylation Aging with Mortality Associated Timescales",35269389,8909670,cells-11-00767,10.3390/cells11050767,Article,2022-02-22,2021-12-28,2022-02-14,,"© 2022 by the authors.","pseudotime analysis;trajectory inference;epigenetic aging;DNA methylation",https://github.com/Kal-Lap/PseudotimeMethylation
1082,343,"High-Throughput Imaging of CRISPR- and Recombinant Adeno-Associated Virus–Induced DNA Damage Response in Human Hematopoietic Stem and Progenitor Cells",35049367,8892977,10.1089/crispr.2021.0128,10.1089/crispr.2021.0128,"Research Articles",2022-02-01,"","",,"© Daniel Allen, et al. 2022; Published by Mary Ann Liebert, Inc.","",https://github.com/alonsaguy/Rapid-CRISPR-Quantification
1083,18,"Multi-parameter photon-by-photon hidden Markov modeling",35194038,8863987,28632,10.1038/s41467-022-28632-x,Article,2022-02-22,2021-04-15,2022-02-03,,"© The Author(s) 2022","Single-molecule biophysics;Software;Fluorescence resonance energy transfer",https://github.com/OpenSMFS/PyBroMo;https://github.com/harripd/H2MMpythonlib;https://github.com/harripd/FRETBursts;https://github.com/Photon-HDF5/phconvert;https://github.com/tritemio/PyBroMo;https://github.com/multispot-software/MultichannelTimestamper
1084,89,"iLoci: robust evaluation of genome content and organization for provisional and mature genome assemblies",35211671,8862717,lqac013,10.1093/nargab/lqac013,AcademicSubjects/SCI00030,"",2021-10-29,2022-02-10,,"© The Author(s) 2022. Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics.","",https://github.com/BrendelGroup/AEGeAn;https://github.com/BrendelGroup/iLoci_SLB22NARGB
1085,217,"Genome-wide identification of MITE-derived microRNAs and their targets in bread wheat",35193500,8862332,8364,10.1186/s12864-022-08364-4,"Research Article",2022-02-22,2021-04-16,2022-02-03,,"© The Author(s) 2022","Miniature Inverted-repeat Transposable Elements;microRNAs;
          ;Post-transcriptional regulation;Gene expression;3’ UTR",https://github.com/juancrescente/mirna_mite
1086,26,"Genomic variations and epigenomic landscape of the Medaka Inbred Kiyosu-Karlsruhe (MIKK) panel",35189951,8862245,2602,10.1186/s13059-022-02602-4,Research,2022-02-21,2021-06-30,2022-01-05,,"© The Author(s) 2022","Inbred panel;Medaka;Genetics;Methylation;Structural variation;Graph genome;Long read sequencing;Pan genome;Nanopore",https://github.com/birneylab/MIKK_genome_companion_paper;https://github.com/fritzsedlazeck/SURVIVOR;https://github.com/a-slide/pycoSnake;https://github.com/smehringer/SViper
1087,301,"Launching into clinical space with medspaCy: a new clinical text processing toolkit in Python",35308962,8861690,3576697,,Articles,"","","",,"©2021 AMIA - All rights reserved.","",""
1088,55,"Conditional generative adversarial networks applied to EEG data can inform about the inter-relation of antagonistic behaviors on a neural level",35190692,8861069,3091,10.1038/s42003-022-03091-8,Article,2022-02-21,2021-07-07,2022-02-01,,"© The Author(s) 2022","Cognitive neuroscience;Human behaviour",""
1089,12,"A large-scale study on research code quality and execution",35190569,8861064,1143,10.1038/s41597-022-01143-6,Analysis,2022-02-21,2021-03-26,2022-01-17,,"© The Author(s) 2022","Research data;Software;Information technology",https://github.com/features/actions;https://github.com/atrisovic/dataverse-r-study
1090,344,"Tracking Moving Cells in 3D Time Lapse Images Using 3DeeCellTracker",35340289,8899555,4319,10.21769/BioProtoc.4319,"Methods Article",2022-02-20,2021-12-12,2021-12-21,,"Copyright © The Authors; exclusive licensee Bio-protocol LLC.","3D microscopy;Time lapse images;Cell tracking;Cell segmentation;Deep learning",""
1091,1,"DrugShot: querying biomedical search terms to retrieve prioritized lists of small molecules",35183110,8858480,4590,10.1186/s12859-022-04590-5,Software,2022-02-19,2021-10-04,2022-01-28,,"© The Author(s) 2022","Drug repurposing;Text mining;Machine learning;Search engine;Transcriptomics",https://github.com/MaayanLab/drugshot;https://github.com/MaayanLab/appyter-catalog
1092,180,"Lcapy: symbolic linear circuit analysis with Python",35494804,9044395,cs-875,10.7717/peerj-cs.875,"Computer Aided Design",2022-02-18,2021-03-02,2022-01-13,,"© 2022 Hayes","Linear circuit analysis;Symbolic computation;Python",https://github.com/mph-/lcapy
1093,252,"Large-Scale G Protein-Coupled Olfactory Receptor–Ligand
Pairing",35350604,8949627,,10.1021/acscentsci.1c01495,"Research Article",2022-02-18,2021-12-07,"",,"© 2022 The Authors. Published by American Chemical Society","",https://github.com/chemosim-lab/OlfactoryReceptors
1094,233,"The endoplasmic reticulum proteostasis network profoundly shapes the protein sequence space accessible to HIV envelope",35180219,8906867,PBIOLOGY-D-21-01086,10.1371/journal.pbio.3001569,"Research Article",2022-02-18,2021-04-24,2022-02-07,,"© 2022 Yoon et al","",https://github.com/yoon-jimin/2021_HIV_Env_DMS;https://github.com/kevinblighe/EnhancedVolcano;https://github.com/PeeperLab/Rtoolbox
1095,190,"Google Colab and Virtual Simulations: Practical e-Learning
Tools to Support the Teaching of Thermodynamics and to Introduce Coding
to Students",35252732,8892672,,10.1021/acsomega.2c00362,Article,2022-02-18,2022-01-18,2022-01-31,,"© 2022 The Authors. Published by American Chemical Society","",https://github.com/deepmind/alphafold;https://github.com/wavallejol/ColabChem
1096,345,"Spatial organization of transcribed eukaryotic genes",35177821,9380065,,10.1038/s41556-022-00847-6,Article,2022-08-11,"","",,,"",""
1097,346,"Programming cell-free biosensors with DNA strand displacement circuits",35177837,8964419,962,10.1038/s41589-021-00962-9,Article,2022-02-17,2021-01-29,2021-12-16,,"© The Author(s) 2022","DNA;RNA;Transcription;Synthetic biology",""
1098,142,"iCn3D: From Web-Based 3D Viewer to Structural Analysis Tool in Batch Mode",35252351,8892267,831740,10.3389/fmolb.2022.831740,"Molecular Biosciences",2022-02-17,2021-12-08,2022-01-21,,"Copyright © 2022 Wang, Youkharibache, Marchler-Bauer, Lanczycki, Zhang, Lu, Madej, Marchler, Cheng, Chong, Zhao, Yang, Lin, Cheng, Dunn, Malkaram, Tai, Enoma, Busby, Johnson, Tabaro, Song and Ge.","iCn3D;web-based;3d viewer;structural analysis;batch mode;Node.js script;Python script;delphi",https://github.com/ncbi/icn3d
1099,88,"Comparative Venomics of the Cryptic Cone Snail Species ",35200678,8875821,marinedrugs-20-00149,10.3390/md20020149,Article,2022-02-17,2021-12-20,2022-01-28,,"© 2022 by the authors.","cone snails;conotoxins;venom duct transcriptomes;venom duct proteomes;
          ;
          ;differential expression;Cerm03;SF-mi2;insulin",""
1100,347,"BrainIAK: The Brain Imaging Analysis Kit",35939268,9351935,,10.52294/31bb5b68-2184-411b-8c00-a1dacb61e1da,Article,2022-05-28,"","",,,"MVPA;fMRI analysis;high-performance computing;machine learning;fMRI simulator;tutorials",https://github.com/ohbm/hackathon2019;https://github.com/brainiak/brainiak-aperture;https://github.com/brainiak/rt-cloud;https://github.com/rivetTDA/rivet
1101,348,"A Broadband View of the Sea Surface Height Wavenumber Spectrum",35865998,9285931,GRL63720,10.1029/2021GL096699,Oceans,2022-02-16,2021-10-22,2022-01-31,,"© 2022 The Authors.","altimetry;sea surface height;meso and submesoscale;SWOT;surface waves;airborne lidar",https://github.com/biavillasboas/BroadbandSpectrum
1102,349,"Polar/apolar interfaces modulate the conformational behavior of cyclic peptides with impact on their passive membrane permeability",35424539,8981571,d1ra09025a,10.1039/d1ra09025a,Chemistry,2022-02-16,2021-12-13,2022-02-10,,"This journal is © The Royal Society of Chemistry","",https://github.com/rinikerlab/cyclic_peptide_at_interfaces;https://github.com/schrodinger/pymol-open-source
1103,121,"A FAIR-compliant parts catalogue for genome engineering and expression control in ",35224233,8857431,,10.1016/j.synbio.2022.02.001,Article,2022-02-16,2021-10-31,2022-02-04,,"© 2022 The Authors",gRNA;Promoter;Terminator;Yeast;Standardization,https://github.com/vasdam/Parts_characterisation
1104,5,"Patient-specific Boolean models of signalling networks guide personalised treatments",35164900,9018074,72626,10.7554/eLife.72626,"Research Article",2022-02-15,2021-07-30,2022-01-27,,"© 2022, Montagud et al","personalised medicine;logical modelling;prostate cancer;personalised drug;simulations;drug combinations;Human",https://github.com/ArnauMontagud/PROFILE_v2;https://github.com/sysbio-curie/PROFILE;https://github.com/sysbio-curie/Logical_modelling_pipeline;https://github.com/maboss-bkmc/MaBoSS-env-2.0
1105,44,"A New Approach Using Targeted Sequence Capture for Phylogenomic Studies across Cactaceae",35205394,8871817,genes-13-00350,10.3390/genes13020350,Article,2022-02-15,2021-12-13,2022-02-10,,"© 2022 by the authors.","cacti;Opuntia;Hyb-seq;neotropics;target enrichment",https://github.com/mossmatters/MJPythonNotebooks
